Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Dolnośląskie;02;2915241;1402461;258423;1001990;588062;413928;142048;1512780;246092;910239;571585;338654;356449;;;;;;;;;;;;
Powiat bolesławiecki;0201;90470;44003;8865;31112;18432;12680;4026;46467;8359;28021;17709;10312;10087;;;;;;;;;;;;
gm. m. Bolesławiec;0201011;40209;19023;3369;13495;7688;5807;2159;21186;3125;12457;7438;5019;5604;;;;;;;;;;;;
Bolesławiec;0935989;40209;19023;3369;13495;7688;5807;2159;21186;3125;12457;7438;5019;5604;;;;;;;;;;;;
gm. w. Bolesławiec;0201022;13594;6762;1467;4825;2891;1934;470;6832;1421;4295;2821;1474;1116;;;;;;;;;;;;
Bolesławice;0188937;590;293;77;192;126;66;24;297;68;195;138;57;34;;;;;;;;;;;;
Bożejowice;0188950;483;237;49;177;101;76;11;246;35;173;102;71;38;;;;;;;;;;;;
Brzeźnik;0188966;830;426;88;310;198;112;28;404;87;261;181;80;56;;;;;;;;;;;;
Chościszowice;0188989;68;34;6;23;12;11;5;34;6;23;18;5;5;;;;;;;;;;;;
Dąbrowa Bolesławiecka;0188995;314;158;26;118;72;46;14;156;32;94;58;36;30;;;;;;;;;;;;
Dobra;0189026;708;337;63;257;150;107;17;371;75;244;165;79;52;;;;;;;;;;;;
Golnice;0189032;217;107;21;74;40;34;12;110;18;74;48;26;18;;;;;;;;;;;;
Kozłów;0189055;42;18;1;15;5;10;2;24;3;12;8;4;9;;;;;;;;;;;;
Kraszowice;0189078;288;162;40;109;63;46;13;126;23;84;54;30;19;;;;;;;;;;;;
Kraśnik Dolny;0189084;674;330;64;234;135;99;32;344;68;212;135;77;64;;;;;;;;;;;;
Kraśnik Górny;0189090;536;263;59;180;110;70;24;273;61;159;105;54;53;;;;;;;;;;;;
Krępnica;0189121;225;116;25;85;48;37;6;109;26;69;46;23;14;;;;;;;;;;;;
Kruszyn;0189138;1618;801;175;568;331;237;58;817;165;525;324;201;127;;;;;;;;;;;;
Lipiany;0189167;163;87;22;60;35;25;5;76;13;53;30;23;10;;;;;;;;;;;;
Łaziska;0189173;841;417;103;298;178;120;16;424;73;282;191;91;69;;;;;;;;;;;;
Łąka;0189180;247;124;30;86;43;43;8;123;30;76;48;28;17;;;;;;;;;;;;
Mierzwin;0189196;265;129;25;98;54;44;6;136;34;83;51;32;19;;;;;;;;;;;;
Nowa;0189204;180;94;17;72;39;33;5;86;18;50;33;17;18;;;;;;;;;;;;
Nowa Wieś;0189210;390;193;41;136;85;51;16;197;44;115;78;37;38;;;;;;;;;;;;
Nowe Jaroszowice;0189227;262;122;18;91;54;37;13;140;33;79;47;32;28;;;;;;;;;;;;
Ocice;0189233;974;496;108;357;219;138;31;478;112;288;190;98;78;;;;;;;;;;;;
Otok;0189240;442;221;57;151;96;55;13;221;53;139;95;44;29;;;;;;;;;;;;
Parkoszów;0189256;118;60;12;45;27;18;3;58;11;32;22;10;15;;;;;;;;;;;;
Rakowice;0189262;513;245;56;171;101;70;18;268;61;163;106;57;44;;;;;;;;;;;;
Stara Oleszna;0189279;210;106;24;73;40;33;9;104;19;62;42;20;23;;;;;;;;;;;;
Stare Jaroszewice;0189291;309;155;36;106;62;44;13;154;30;93;60;33;31;;;;;;;;;;;;
Suszki;0189300;300;152;38;103;62;41;11;148;34;85;58;27;29;;;;;;;;;;;;
Trzebień;0189322;1150;535;112;388;254;134;35;615;140;388;263;125;87;;;;;;;;;;;;
Trzebień Mały;0189339;89;51;13;33;18;15;5;38;4;23;14;9;11;;;;;;;;;;;;
Żeliszów;0189351;548;293;61;215;133;82;17;255;45;159;111;48;51;;;;;;;;;;;;
gm.w. Gromadka;0201032;5523;2758;568;1955;1143;812;235;2765;524;1664;1040;624;577;;;;;;;;;;;;
Borówki;0364133;197;100;14;78;47;31;8;97;21;59;37;22;17;;;;;;;;;;;;
