Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Małopolskie;12;3337471;1619813;338104;1105933;690010;415923;175776;1717658;322234;1016616;676192;340424;378808;;;;;;;;;;;;
Powiat bocheński;1201;103357;50831;11581;34394;21638;12756;4856;52526;11146;30942;21039;9903;10438;;;;;;;;;;;;
gm. m. Bochnia;1201011;30187;14467;3015;10010;6154;3856;1442;15720;3006;9392;6182;3210;3322;;;;;;;;;;;;
Bochnia;0981682;30187;14467;3015;10010;6154;3856;1442;15720;3006;9392;6182;3210;3322;;;;;;;;;;;;
gm.w. Bochnia;1201022;18803;9235;2085;6270;3956;2314;880;9568;1963;5700;3857;1843;1905;;;;;;;;;;;;
Baczków;0811796;915;453;104;318;195;123;31;462;80;290;206;84;92;;;;;;;;;;;;
Bessów;0811827;282;136;25;95;62;33;16;146;26;89;58;31;31;;;;;;;;;;;;
Bogucice;0811833;755;363;97;226;133;93;40;392;77;234;168;66;81;;;;;;;;;;;;
Brzeźnica;0811891;1150;584;123;414;273;141;47;566;117;349;236;113;100;;;;;;;;;;;;
Buczyna;0811974;438;225;47;144;99;45;34;213;53;110;73;37;50;;;;;;;;;;;;
Cerekiew;0812028;317;159;31;118;72;46;10;158;27;99;62;37;32;;;;;;;;;;;;
Chełm;0812092;169;79;12;55;27;28;12;90;9;54;32;22;27;;;;;;;;;;;;
Cikowice;0812057;835;398;71;275;169;106;52;437;79;257;171;86;101;;;;;;;;;;;;
Damienice;0812100;855;396;75;287;164;123;34;459;95;284;179;105;80;;;;;;;;;;;;
Dąbrowica;0812175;270;128;21;91;61;30;16;142;30;87;65;22;25;;;;;;;;;;;;
Gawłów;0812212;616;294;67;202;109;93;25;322;66;198;129;69;58;;;;;;;;;;;;
Gierczyce;0812241;618;285;63;195;133;62;27;333;72;183;137;46;78;;;;;;;;;;;;
Gorzków;0812264;486;243;62;156;104;52;25;243;53;139;95;44;51;;;;;;;;;;;;
Grabina;0812293;150;81;21;48;33;15;12;69;14;40;32;8;15;;;;;;;;;;;;
Krzyżanowice;0812318;114;56;12;35;19;16;9;58;8;36;20;16;14;;;;;;;;;;;;
Łapczyca;0812330;2028;993;197;705;447;258;91;1035;212;613;417;196;210;;;;;;;;;;;;
Majkowice;0812488;483;241;61;156;102;54;24;242;51;141;97;44;50;;;;;;;;;;;;
Moszczenica;0812548;335;171;37;115;67;48;19;164;27;97;64;33;40;;;;;;;;;;;;
Nieprześnia;0812577;283;149;36;100;76;24;13;134;37;78;54;24;19;;;;;;;;;;;;
Nieszkowice Małe;0812637;473;244;55;170;113;57;19;229;57;131;90;41;41;;;;;;;;;;;;
Nieszkowice Wielkie;0812689;486;236;58;160;99;61;18;250;48;140;101;39;62;;;;;;;;;;;;
Ostrów Szlachecki;0812755;448;227;50;159;105;54;18;221;37;139;92;47;45;;;;;;;;;;;;
Pogwizdów;0812784;771;386;86;251;155;96;49;385;79;231;157;74;75;;;;;;;;;;;;
Proszówki;0812821;1801;880;239;572;371;201;69;921;199;559;391;168;163;;;;;;;;;;;;
Siedlec;0812896;832;422;108;282;175;107;32;410;95;254;167;87;61;;;;;;;;;;;;
Słomka;0812940;136;67;9;46;28;18;12;69;12;41;24;17;16;;;;;;;;;;;;
Stanisławice;0321939;1421;684;161;456;281;175;67;737;131;449;294;155;157;;;;;;;;;;;;
Stradomka;0812956;321;157;28;114;75;39;15;164;42;97;61;36;25;;;;;;;;;;;;
Wola Nieszkowska;0812979;504;244;55;164;106;58;25;260;63;139;95;44;58;;;;;;;;;;;;
Zatoka;0813039;189;94;31;55;37;18;8;95;27;47;31;16;21;;;;;;;;;;;;
Zawada;0813051;322;160;43;106;66;40;11;162;40;95;59;36;27;;;;;;;;;;;;
gm.w. Drwinia;1201032;6463;3208;677;2185;1340;845;346;3255;662;1880;1279;601;713;;;;;;;;;;;;
Bieńkowice;0317139;191;93;16;70;37;33;7;98;19;56;35;21;23;;;;;;;;;;;;
