Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Warmińsko-mazurskie;28;1452147;711468;147498;500609;302814;197795;63361;740679;140391;448620;287541;161079;151668;;;;;;;;;;;;
Powiat bartoszycki;2801;61288;30008;5967;21350;12723;8627;2691;31280;5780;18850;11784;7066;6650;;;;;;;;;;;;
gm. m. Bartoszyce;2801011;25022;11872;2209;8554;5058;3496;1109;13150;2238;8049;4857;3192;2863;;;;;;;;;;;;
Bartoszyce;0964583;25022;11872;2209;8554;5058;3496;1109;13150;2238;8049;4857;3192;2863;;;;;;;;;;;;
gm. m. Górowo Iławeckie;2801021;4424;2187;411;1555;923;632;221;2237;354;1378;814;564;505;;;;;;;;;;;;
Górowo Iławeckie;0964643;4424;2187;411;1555;923;632;221;2237;354;1378;814;564;505;;;;;;;;;;;;
gm.w. Bartoszyce;2801032;11045;5598;1207;3946;2430;1516;445;5447;1163;3267;2176;1091;1017;;;;;;;;;;;;
Ardapy;0470250;56;30;4;23;12;11;3;26;5;17;9;8;4;;;;;;;;;;;;
Bajdyty;0470266;50;25;6;17;12;5;2;25;8;10;4;6;7;;;;;;;;;;;;
Barciszewo;0470289;151;77;11;58;32;26;8;74;17;44;30;14;13;;;;;;;;;;;;
Bąsze;0470303;44;24;6;14;10;4;4;20;2;12;9;3;6;;;;;;;;;;;;
Bezledy;0470310;1031;511;102;372;225;147;37;520;109;326;203;123;85;;;;;;;;;;;;
Bieliny;0470326;9;5;1;4;1;3;0;4;0;4;3;1;0;;;;;;;;;;;;
Borki;0470332;184;100;23;77;53;24;0;84;24;53;41;12;7;;;;;;;;;;;;
Borki Sędrowskie;0470355;23;9;1;8;1;7;0;14;3;7;5;2;4;;;;;;;;;;;;
Bukowo;0470361;51;29;10;17;9;8;2;22;7;12;10;2;3;;;;;;;;;;;;
Burkarty;0470378;31;17;2;11;8;3;4;14;2;6;5;1;6;;;;;;;;;;;;
Ceglarki;0470384;20;11;2;8;5;3;1;9;2;4;2;2;3;;;;;;;;;;;;
Ciemna Wola;0470390;86;33;5;26;15;11;2;53;9;35;19;16;9;;;;;;;;;;;;
Czerwona Górka;0470409;3;2;0;2;2;0;0;1;0;1;0;1;0;;;;;;;;;;;;
Dąbrowa;0470415;300;150;27;109;69;40;14;150;34;85;66;19;31;;;;;;;;;;;;
Drawa;0470421;31;17;2;15;9;6;0;14;3;8;5;3;3;;;;;;;;;;;;
Falczewo;0470444;76;36;8;27;17;10;1;40;7;26;19;7;7;;;;;;;;;;;;
Galiny;0470450;756;368;74;268;165;103;26;388;81;227;152;75;80;;;;;;;;;;;;
Gile;0470467;38;23;3;19;10;9;1;15;3;8;4;4;4;;;;;;;;;;;;
Glitajny;0470473;13;7;1;6;2;4;0;6;2;4;4;0;0;;;;;;;;;;;;
Głomno;0470480;153;86;16;61;40;21;9;67;19;31;17;14;17;;;;;;;;;;;;
Gromki;0470510;87;44;11;29;17;12;4;43;7;25;16;9;11;;;;;;;;;;;;
Jarkowo;0470540;27;13;3;9;5;4;1;14;4;5;1;4;5;;;;;;;;;;;;
Kiersity;0470556;91;51;19;28;21;7;4;40;6;27;20;7;7;;;;;;;;;;;;
Kiertyny Wielkie;0470562;147;73;14;56;36;20;3;74;11;47;34;13;16;;;;;;;;;;;;
Kinkajmy;0470585;379;209;48;145;94;51;16;170;29;118;77;41;23;;;;;;;;;;;;
Kosy;0470600;167;91;28;53;34;19;10;76;16;43;31;12;17;;;;;;;;;;;;
Krawczyki;0470622;237;114;24;77;50;27;13;123;35;67;46;21;21;;;;;;;;;;;;
Kromarki;0470645;169;87;19;63;42;21;5;82;19;49;34;15;14;;;;;;;;;;;;
Leginy;0470668;65;34;6;24;14;10;4;31;4;22;14;8;5;;;;;;;;;;;;
Lejdy;0470674;46;24;3;18;7;11;3;22;6;12;7;5;4;;;;;;;;;;;;
Lusiny;0470705;78;42;10;31;15;16;1;36;10;21;14;7;5;;;;;;;;;;;;
