Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Podlaskie;20;1202365;586826;116382;402537;246923;155614;67907;615539;110717;361762;234391;127371;143060;;;;;;;;;;;;
Powiat augustowski;2001;60044;29409;6061;19892;12291;7601;3456;30635;5841;17659;11568;6091;7135;;;;;;;;;;;;
gm. m. Augustów;2001011;30802;14556;2920;10047;6206;3841;1589;16246;2876;9705;6193;3512;3665;;;;;;;;;;;;
Augustów;0977539;30802;14556;2920;10047;6206;3841;1589;16246;2876;9705;6193;3512;3665;;;;;;;;;;;;
gm.w. Augustów;2001022;6879;3545;848;2290;1474;816;407;3334;750;1888;1327;561;696;;;;;;;;;;;;
Białobrzegi;0752792;333;174;33;125;72;53;16;159;20;102;69;33;37;;;;;;;;;;;;
Biernatki;0752800;170;90;23;59;39;20;8;80;16;53;38;15;11;;;;;;;;;;;;
Bór;0752817;81;52;2;44;28;16;6;29;1;21;13;8;7;;;;;;;;;;;;
Chomontowo;0752823;67;41;8;30;19;11;3;26;5;16;9;7;5;;;;;;;;;;;;
Czarnucha;0752830;82;42;6;27;13;14;9;40;5;23;17;6;12;;;;;;;;;;;;
Gabowe Grądy;0752852;97;50;13;33;19;14;4;47;6;23;17;6;18;;;;;;;;;;;;
Gliniski;0752869;100;51;8;40;25;15;3;49;11;29;18;11;9;;;;;;;;;;;;
Grabowo;0752875;74;39;9;28;17;11;2;35;11;17;11;6;7;;;;;;;;;;;;
Grabowo-Kolonie;0752881;128;71;16;46;33;13;9;57;12;32;19;13;13;;;;;;;;;;;;
Jabłońskie;0752898;261;141;42;81;53;28;18;120;27;65;42;23;28;;;;;;;;;;;;
Janówka;0752906;442;209;44;136;94;42;29;233;51;137;101;36;45;;;;;;;;;;;;
Jeziorki;0752912;315;155;40;97;59;38;18;160;44;90;62;28;26;;;;;;;;;;;;
Kolnica;0752929;439;216;47;146;95;51;23;223;46;128;86;42;49;;;;;;;;;;;;
Kolnica;0752941;42;21;4;16;11;5;1;21;6;11;8;3;4;;;;;;;;;;;;
Komaszówka;0752958;82;45;13;24;21;3;8;37;6;24;17;7;7;;;;;;;;;;;;
Mazurki;0752970;143;65;14;45;29;16;6;78;23;41;29;12;14;;;;;;;;;;;;
Mikołajówek;0752987;79;39;11;21;9;12;7;40;10;18;12;6;12;;;;;;;;;;;;
Netta Druga;0752993;249;128;38;80;49;31;10;121;29;71;50;21;21;;;;;;;;;;;;
Netta Pierwsza;0753018;344;186;33;126;85;41;27;158;34;88;56;32;36;;;;;;;;;;;;
Netta-Folwark;0753001;177;92;26;60;36;24;6;85;23;47;34;13;15;;;;;;;;;;;;
Osowy Grąd;0753047;197;110;36;63;40;23;11;87;20;46;35;11;21;;;;;;;;;;;;
Ponizie;0753053;215;112;27;63;42;21;22;103;23;57;42;15;23;;;;;;;;;;;;
Posielanie;0753060;59;35;7;25;19;6;3;24;5;15;9;6;4;;;;;;;;;;;;
Promiski;0753076;86;43;9;34;21;13;0;43;8;26;18;8;9;;;;;;;;;;;;
Pruska Mała;0753082;144;76;15;53;38;15;8;68;16;35;25;10;17;;;;;;;;;;;;
Pruska Wielka;0753099;296;152;41;92;62;30;19;144;34;77;61;16;33;;;;;;;;;;;;
Rutki Nowe;0753024;369;192;37;138;87;51;17;177;31;112;73;39;34;;;;;;;;;;;;
Rutki Stare;0753113;230;120;35;74;53;21;11;110;23;68;48;20;19;;;;;;;;;;;;
Rzepiski;0753107;91;50;18;24;15;9;8;41;9;20;10;10;12;;;;;;;;;;;;
Świderek;0753120;62;32;11;17;10;7;4;30;12;13;10;3;5;;;;;;;;;;;;
Topiłówka;0753142;374;192;46;125;79;46;21;182;49;90;63;27;43;;;;;;;;;;;;
Turówka;0753171;119;61;13;41;24;17;7;58;11;37;26;11;10;;;;;;;;;;;;
Uścianki;0753188;83;44;17;22;12;10;5;39;10;21;14;7;8;;;;;;;;;;;;
