Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Mazowieckie;14;5268660;2522131;504183;1729830;1053875;675955;288118;2746529;480036;1614334;1047013;567321;652159;;;;;;;;;;;;
Powiat białobrzeski;1401;33897;17071;3897;11434;7068;4366;1740;16826;3590;9598;6455;3143;3638;;;;;;;;;;;;
gm. m-w. Białobrzegi ;1401013;10429;5157;1096;3598;2218;1380;463;5272;997;3203;2067;1136;1072;;;;;;;;;;;;
m. Białobrzegi  ;1401014;7263;3561;703;2526;1546;980;332;3702;645;2283;1421;862;774;;;;;;;;;;;;
Białobrzegi;0973286;7263;3561;703;2526;1546;980;332;3702;645;2283;1421;862;774;;;;;;;;;;;;
w.  Białobrzegi  ;1401015;3166;1596;393;1072;672;400;131;1570;352;920;646;274;298;;;;;;;;;;;;
Brzeska Wola;0614475;206;98;31;58;38;20;9;108;27;58;45;13;23;;;;;;;;;;;;
Brzeźce;0614506;286;146;33;94;59;35;19;140;20;91;61;30;29;;;;;;;;;;;;
Budy Brankowskie;0614529;107;51;7;37;25;12;7;56;14;32;23;9;10;;;;;;;;;;;;
Dąbrówka;0614535;67;38;12;26;18;8;0;29;5;19;13;6;5;;;;;;;;;;;;
Jasionna;0614541;108;62;6;45;24;21;11;46;4;30;16;14;12;;;;;;;;;;;;
Kamień;0614564;402;204;49;142;92;50;13;198;51;118;84;34;29;;;;;;;;;;;;
Mikówka;0614570;108;53;14;38;20;18;1;55;10;32;21;11;13;;;;;;;;;;;;
Okrąglik;0614601;34;19;5;9;4;5;5;15;4;7;6;1;4;;;;;;;;;;;;
Pohulanka;0614618;69;34;9;23;17;6;2;35;10;22;17;5;3;;;;;;;;;;;;
Stawiszyn;0614624;253;144;44;87;50;37;13;109;25;62;44;18;22;;;;;;;;;;;;
Sucha;0614630;1186;572;130;403;259;144;39;614;140;360;257;103;114;;;;;;;;;;;;
Szczyty;0614682;340;175;53;110;66;44;12;165;42;89;59;30;34;;;;;;;;;;;;
gm.w. Promna;1401022;5688;2903;611;1936;1172;764;356;2785;552;1567;1029;538;666;;;;;;;;;;;;
Adamów;0632651;62;33;7;22;13;9;4;29;6;14;10;4;9;;;;;;;;;;;;
Biejkowska Wola;0632668;155;75;14;51;33;18;10;80;16;39;27;12;25;;;;;;;;;;;;
Biejków;0632674;239;123;19;84;48;36;20;116;20;65;47;18;31;;;;;;;;;;;;
Bronisławów;0632680;113;68;15;47;30;17;6;45;5;32;17;15;8;;;;;;;;;;;;
Broniszew;0632711;243;119;24;88;50;38;7;124;27;74;49;25;23;;;;;;;;;;;;
Daltrozów;0632728;121;61;24;34;23;11;3;60;17;31;24;7;12;;;;;;;;;;;;
Domaniewice;0632734;92;45;13;29;15;14;3;47;10;28;19;9;9;;;;;;;;;;;;
Falęcice;0632740;341;179;34;130;88;42;15;162;24;106;67;39;32;;;;;;;;;;;;
Falęcice-Parcela;0632970;125;67;14;46;35;11;7;58;10;29;20;9;19;;;;;;;;;;;;
Falęcice-Wola;0632763;90;40;7;25;10;15;8;50;8;31;17;14;11;;;;;;;;;;;;
Góry;0632770;153;75;14;44;26;18;17;78;9;46;29;17;23;;;;;;;;;;;;
Jadwigów;0632786;82;50;8;36;22;14;6;32;4;19;10;9;9;;;;;;;;;;;;
Karolin;0632800;76;36;5;27;16;11;4;40;8;23;16;7;9;;;;;;;;;;;;
Lekarcice;0632823;91;50;14;26;16;10;10;41;8;19;14;5;14;;;;;;;;;;;;
Lekarcice Nowe;0632906;107;49;7;32;19;13;10;58;15;32;20;12;11;;;;;;;;;;;;
Lekarcice Stare;0633202;88;44;10;29;17;12;5;44;8;27;18;9;9;;;;;;;;;;;;
Lisów;0632830;261;129;33;83;48;35;13;132;35;70;50;20;27;;;;;;;;;;;;
Mała Wieś;0632869;220;104;17;68;33;35;19;116;17;63;45;18;36;;;;;;;;;;;;
Olkowice;0632912;109;54;15;36;24;12;3;55;16;32;21;11;7;;;;;;;;;;;;
