Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Świętokrzyskie;26;1280721;625479;118841;434087;256151;177936;72551;655242;113349;380074;240608;139466;161819;;;;;;;;;;;;
Powiat buski;2601;74512;36339;6797;24880;14539;10341;4662;38173;6621;21289;13717;7572;10263;;;;;;;;;;;;
gm.m-w. Busko-Zdrój;2601013;32995;15806;2929;10973;6459;4514;1904;17189;2819;10037;6295;3742;4333;;;;;;;;;;;;
m. Busko-Zdrój  ;2601014;17120;7942;1372;5596;3236;2360;974;9178;1351;5474;3297;2177;2353;;;;;;;;;;;;
Busko-Zdrój;0946651;17120;7942;1372;5596;3236;2360;974;9178;1351;5474;3297;2177;2353;;;;;;;;;;;;
w.  Busko-Zdrój  ;2601015;15875;7864;1557;5377;3223;2154;930;8011;1468;4563;2998;1565;1980;;;;;;;;;;;;
Baranów;0231389;125;62;10;46;26;20;6;63;11;36;22;14;16;;;;;;;;;;;;
Bilczów;0231426;334;183;44;114;71;43;25;151;34;79;54;25;38;;;;;;;;;;;;
Biniątki;0231461;192;99;23;64;37;27;12;93;13;48;33;15;32;;;;;;;;;;;;
Błoniec;0232348;159;79;25;50;30;20;4;80;11;50;34;16;19;;;;;;;;;;;;
Bronina;0231490;460;228;42;163;106;57;23;232;41;147;99;48;44;;;;;;;;;;;;
Budzyń;0231521;126;69;12;45;29;16;12;57;9;29;18;11;19;;;;;;;;;;;;
Chotelek;0231544;306;147;25;105;67;38;17;159;33;87;59;28;39;;;;;;;;;;;;
Dobrowoda;0231580;473;227;41;161;91;70;25;246;45;144;89;55;57;;;;;;;;;;;;
Elżbiecin;0231656;70;40;2;33;18;15;5;30;3;20;8;12;7;;;;;;;;;;;;
Gadawa;0231722;85;41;8;25;18;7;8;44;8;19;12;7;17;;;;;;;;;;;;
Galów;0231739;500;256;43;179;98;81;34;244;44;143;89;54;57;;;;;;;;;;;;
Janina;0231811;429;212;43;139;83;56;30;217;35;124;80;44;58;;;;;;;;;;;;
Kameduły;0231900;135;69;11;51;30;21;7;66;9;38;26;12;19;;;;;;;;;;;;
Kawczyce;0231923;131;67;16;42;25;17;9;64;11;40;24;16;13;;;;;;;;;;;;
Kołaczkowice;0231930;515;253;49;173;97;76;31;262;38;139;96;43;85;;;;;;;;;;;;
Kostki Duże;0232058;271;136;32;93;53;40;11;135;21;83;57;26;31;;;;;;;;;;;;
Kostki Małe;0232070;154;78;25;46;32;14;7;76;22;42;30;12;12;;;;;;;;;;;;
Kotki;0232093;404;198;43;129;76;53;26;206;35;120;76;44;51;;;;;;;;;;;;
Las Winiarski;0232153;134;67;14;46;30;16;7;67;9;40;28;12;18;;;;;;;;;;;;
Łagiewniki;0232199;438;213;49;146;87;59;18;225;43;139;90;49;43;;;;;;;;;;;;
Mikułowice;0232236;999;513;123;339;195;144;51;486;84;295;203;92;107;;;;;;;;;;;;
Młyny;0232288;524;251;55;164;101;63;32;273;59;133;90;43;81;;;;;;;;;;;;
Nowy Folwark;0231691;330;169;34;124;68;56;11;161;28;101;64;37;32;;;;;;;;;;;;
Oleszki;0232354;220;103;20;77;47;30;6;117;23;70;46;24;24;;;;;;;;;;;;
Olganów;0232360;305;148;29;107;67;40;12;157;33;87;56;31;37;;;;;;;;;;;;
Owczary;0232383;756;381;86;256;165;91;39;375;83;224;147;77;68;;;;;;;;;;;;
Palonki;0232420;225;114;25;63;37;26;26;111;17;55;36;19;39;;;;;;;;;;;;
Pęczelice;0232443;124;54;6;42;25;17;6;70;17;33;23;10;20;;;;;;;;;;;;
Podgaje;0232510;252;123;23;84;49;35;16;129;25;73;51;22;31;;;;;;;;;;;;
Radzanów;0232561;328;176;33;119;74;45;24;152;28;88;57;31;36;;;;;;;;;;;;
Ruczynów;0232621;201;97;20;61;42;19;16;104;22;55;35;20;27;;;;;;;;;;;;
Siesławice;0232638;894;438;87;310;184;126;41;456;77;284;189;95;95;;;;;;;;;;;;
