Ludność w miejscowościach statystycznych według ekonomicznych grup wieku. Stan w dniu 31 III 2011 r.;;;;;;;;;;;;;;;Uwaga;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;;"W ramach każdego województwa wykaz zawiera informację o liczbie ludności wszystkich jednostek terytorialnych , tj. w: 
- powiatach,  a w ramach każdego powiatu w:
   - gminach,  z tym, że oznaczenie przy nazwie:
        -  ""gm. m."" - wskazuje na gminę miejską  (liczba ludności gminy miejskiej - miasta), 
        -  ""gm. m-w."" - wskazuje na gminę miejsko wiejską (liczba ludności w całej gminie miejsko-wiejskiej), 
             w ramach której wyodrębnine jest: 
               - miasto - ""m."" przed nazwą  (liczba ludności na terenie miejskim gminy miejsko-wiejskiej)
               - teren wiejski gminy - ""w."" przed nazwą  (liczba ludności na terenie wiejskim gminy miejsko-wiejskiej). 
          - ""gm. w.""  wskazuje na gminę wiejską  (liczba ludności gminy wiejskiej)      
         W ramach gmin wiejskich oraz terenów wiejskich w gminach miejsko-wiejskich zostały wyspecyfikowane poszczególne miejscowości statystyczne.

Dodatkowo, należy zwrócić uwagę, że każde miasto występuje w wykazie podwójnie, tj. raz - z dołączonym symbolem TERYT (oznaczenie gminy), drugi raz - 
z symbolem SIMC (jako miejscowość).";;;;;;;;;;;
"Województwo
Powiat
Gmina
Miejscowość statystyczna";"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;;;;;;;;;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;;;;;;;;;;;;;
;;;;przed-produk-cyjny;produkcyjny;;;"po-
produ-kcyjny";;przed-produk-cyjny;produkcyjny;;;"po
produ-kcyjny";;;;;;;;;;;;
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Opolskie;16;1016212;491309;88613;347883;205496;142387;54813;524903;84392;318189;203663;114526;122322;;;;;;;;;;;;
Powiat  brzeski;1601;92505;45030;8936;31802;18841;12961;4292;47475;8481;28116;17874;10242;10878;;;;;;;;;;;;
gm. m. Brzeg;1601011;37438;17771;3246;12600;7363;5237;1925;19667;3102;11532;7132;4400;5033;;;;;;;;;;;;
Brzeg;0965252;37438;17771;3246;12600;7363;5237;1925;19667;3102;11532;7132;4400;5033;;;;;;;;;;;;
gm.w. Skarbimierz;1601022;7596;3820;871;2665;1667;998;284;3776;831;2260;1566;694;685;;;;;;;;;;;;
Bierzów;0491972;200;103;27;67;38;29;9;97;22;56;40;16;19;;;;;;;;;;;;
Brzezina;0491989;562;278;60;192;111;81;26;284;52;172;114;58;60;;;;;;;;;;;;
Kopanie;0491995;163;85;15;66;39;27;4;78;18;42;27;15;18;;;;;;;;;;;;
Kruszyna;0492003;286;137;18;103;60;43;16;149;24;86;55;31;39;;;;;;;;;;;;
Lipki;0492010;656;323;64;240;132;108;19;333;64;207;126;81;62;;;;;;;;;;;;
Łukowice Brzeskie;0492026;546;272;49;197;123;74;26;274;58;155;101;54;61;;;;;;;;;;;;
Małujowice;0492032;449;216;49;146;90;56;21;233;53;130;94;36;50;;;;;;;;;;;;
Pawłów;0492049;458;234;41;162;107;55;31;224;35;129;84;45;60;;;;;;;;;;;;
Pępice;0492055;406;234;34;174;87;87;26;172;25;105;73;32;42;;;;;;;;;;;;
Prędocin;0492061;209;108;18;81;45;36;9;101;20;61;40;21;20;;;;;;;;;;;;
Skarbimierz;0492078;210;106;18;80;47;33;8;104;24;62;40;22;18;;;;;;;;;;;;
Skarbimierz Osiedle;0990280;2146;1071;347;685;514;171;39;1075;297;680;545;135;98;;;;;;;;;;;;
Zielęcice;0492084;348;177;37;133;77;56;7;171;41;104;66;38;26;;;;;;;;;;;;
Zwanowice;0492090;391;203;42;141;84;57;20;188;43;101;59;42;44;;;;;;;;;;;;
Żłobizna;0492115;566;273;52;198;113;85;23;293;55;170;102;68;68;;;;;;;;;;;;
gm. m-w. Grodków;1601033;19847;9741;1986;6889;4072;2817;866;10106;1914;6060;3839;2221;2132;;;;;;;;;;;;
m. Grodków;1601034;8892;4177;767;3021;1768;1253;389;4715;812;2868;1749;1119;1035;;;;;;;;;;;;
Grodków;0965401;8892;4177;767;3021;1768;1253;389;4715;812;2868;1749;1119;1035;;;;;;;;;;;;
w.  Grodków;1601035;10955;5564;1219;3868;2304;1564;477;5391;1102;3192;2090;1102;1097;;;;;;;;;;;;
Bąków;0495071;561;283;71;192;127;65;20;278;67;167;113;54;44;;;;;;;;;;;;
Bogdanów;0495088;164;80;18;54;29;25;8;84;16;40;24;16;28;;;;;;;;;;;;
Gałązczyce;0495094;453;221;46;157;97;60;18;232;41;149;96;53;42;;;;;;;;;;;;
Gierów;0495102;176;91;24;62;40;22;5;85;20;43;27;16;22;;;;;;;;;;;;
Głębocko;0495119;235;130;26;88;53;35;16;105;15;68;40;28;22;;;;;;;;;;;;
Gnojna;0495125;634;312;56;229;134;95;27;322;62;185;121;64;75;;;;;;;;;;;;
Gola Grodkowska;0495131;289;148;30;101;46;55;17;141;22;87;54;33;32;;;;;;;;;;;;
Jaszów;0495154;360;187;39;130;76;54;18;173;32;111;69;42;30;;;;;;;;;;;;
Jeszkotle;0495160;176;88;16;61;33;28;11;88;12;55;37;18;21;;;;;;;;;;;;
Jędrzejów;0495177;555;310;42;230;116;114;38;245;51;140;93;47;54;;;;;;;;;;;;
Kobiela;0495183;355;172;40;118;61;57;14;183;27;115;71;44;41;;;;;;;;;;;;
Kolnica;0495190;557;282;60;201;131;70;21;275;67;161;107;54;47;;;;;;;;;;;;
Kopice;0495208;842;414;89;291;170;121;34;428;87;250;164;86;91;;;;;;;;;;;;
