lp	wojewodztwo	woj	powiat	pow	gmina	gmi	miasto	lok	ubiegal	operator	odpowiedz	termininw	innaodp	data
687	KUJAWSKO-POMORSKIE	4	toruński	15	Obrowo (gmina wiejska)	7	Osiek	w przyszłości: ul. Przy Lesie	2	0	0	0		2012-10-12 10:43
688	LUBELSKIE	6	Zamość	64	Zamość (gmina miejska)	1	Chyża Kolonia 134a		1	1	0	0	Orange nie chce położyć kabla do nowo oddanego domu.	2012-10-12 11:01
689	ŚLĄSKIE	24	raciborski	11	Kuźnia Raciborska (gmina miejsko-wiejska)	5	Jankowice		1	3	1	0		2012-10-12 11:05
690	WARMIŃSKO-MAZURSKIE	28	olsztyński	14	Purda (gmina wiejska)	10	Marcinkowo		1	2	1	0		2012-10-12 11:18
691	LUBUSKIE	8	słubicki	5	Rzepin (gmina miejsko-wiejska)	4	Starościn	Starościn	1	1	1	0		2012-10-12 11:19
692	ZACHODNIOPOMORSKIE	32	kołobrzeski	8	Rymań (gmina wiejska)	5	rymań	koszalińska 48	1	1	1	0		2012-10-12 12:04
693	ŁÓDZKIE	10	sieradzki	14	Goszczanów (gmina wiejska)	6	Wroniawy		1	1	1	0		2012-10-12 12:07
694	ZACHODNIOPOMORSKIE	32	sławieński	13	Postomino (gmina wiejska)	5	Korlino		1	2	1	0		2012-10-12 12:30
695	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Pogórska Wola		2	0	0	0		2012-10-12 12:38
696	LUBELSKIE	6	łukowski	11	Krzywda (gmina wiejska)	4	zimna woda 	zimna woda	1	2	2	4		2012-10-12 12:51
697	ZACHODNIOPOMORSKIE	32	gryficki	5	Trzebiatów (gmina miejsko-wiejska)	8	Trzebiatów	Jaromin	1	4	2	4		2012-10-12 12:54
698	MAŁOPOLSKIE	12	tarnowski	16	Wierzchosławice (gmina wiejska)	11	Wierzchosławice	Trzydniaki	1	3	1	0		2012-10-12 13:02
699	ZACHODNIOPOMORSKIE	32	policki	11	Nowe Warpno (gmina miejsko-wiejska)	3	Brzózki		1	2	1	0		2012-10-12 13:04
700	MAZOWIECKIE	14	wołomiński	34	Zielonka (gmina miejska)	4	Zielonka	Ossowska	1	3	1	0		2012-10-12 13:04
701	KUJAWSKO-POMORSKIE	4	lipnowski	8	Bobrowniki (gmina wiejska)	2	Bobrowniki		1	1	1	0		2012-10-12 13:05
702	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	Unisław	Szeroka	1	1	1	0		2012-10-12 13:09
703	MAŁOPOLSKIE	12	suski	15	Zawoja (gmina wiejska)	8	zawoja	Rybna	1	5	1	0		2012-10-12 13:34
704	MAŁOPOLSKIE	12	suski	15	Zawoja (gmina wiejska)	8	zawoja	Lajkonik	1	4	1	0		2012-10-12 13:36
705	MAZOWIECKIE	14	wołomiński	34	Radzymin (gmina miejsko-wiejska)	9	Nadma	Kozia Góra	1	2	1	0		2012-10-12 13:50
706	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Pogórska Wola		1	2	1	0		2012-10-12 13:50
707	MAZOWIECKIE	14	wyszkowski	35	Rząśnik (gmina wiejska)	3	rogóźno		1	3	3	0	usługa internetu mobilnego nie działała u żadnego z operatorów	2012-10-12 13:50
708	MAŁOPOLSKIE	12	limanowski	7	Mszana Dolna (gmina wiejska)	9	Kasinka Mała		1	3	1	0		2012-10-12 13:58
709	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Ładna		1	1	1	0		2012-10-12 14:25
710	OPOLSKIE	16	strzelecki	11	Strzelce Opolskie (gmina miejsko-wiejska)	5	Dziewkowice		1	2	3	0	Chciałem internet 4Mbps a jest możliwość techniczna na maksymalnie 2Mbps.	2012-10-12 14:31
711	PODKARPACKIE	18	lubaczowski	9	Lubaczów (gmina miejska)	1	Lubaczów	Św królowej jadwigi	1	1	1	0		2012-10-12 14:43
712	ZACHODNIOPOMORSKIE	32	świdwiński	16	Rąbino (gmina wiejska)	4	Batyń		1	1	1	0		2012-10-12 14:44
713	ZACHODNIOPOMORSKIE	32	świdwiński	16	Rąbino (gmina wiejska)	4	Nielep		1	1	1	0		2012-10-12 14:44
714	MAŁOPOLSKIE	12	krakowski	6	Sułoszowa (gmina wiejska)	13	WOLA KALINOWSKA	PRĄDNICKA	2	0	0	0		2012-10-12 14:49
715	ZACHODNIOPOMORSKIE	32	policki	11	Dobra (Szczecińska) (gmina wiejska)	1	Dobra	Paproci	1	1	2	3		2012-10-12 15:08
716	WARMIŃSKO-MAZURSKIE	28	lidzbarski	9	Kiwity (gmina wiejska)	2	Bartniki 22		1	1	3	0	Umowa 10 miesięczna z TPSA z 12-2011. Brak chęci podjęcia realizacji umowy.	2012-10-12 15:58
717	MAZOWIECKIE	14	nowodworski	14	Nasielsk (gmina miejsko-wiejska)	4	Żabiczyn	Leśne Echa	1	1	1	0		2012-10-12 16:41
718	ZACHODNIOPOMORSKIE	32	choszczeński	2	Pełczyce (gmina miejsko-wiejska)	5	Chrapowo	Chrapowo 31A	1	3	1	0		2012-10-12 16:47
719	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Łękawica		2	0	0	0		2012-10-12 16:48
720	WARMIŃSKO-MAZURSKIE	28	ełcki	5	Stare Juchy (gmina wiejska)	5	Olszewo		1	2	1	0		2012-10-12 16:54
721	LUBUSKIE	8	międzyrzecki	3	Skwierzyna (gmina miejsko-wiejska)	5	Skwierzyna		2	0	0	0		2012-10-12 17:22
722	DOLNOŚLĄSKIE	2	oleśnicki	14	Twardogóra (gmina miejsko-wiejska)	8	Goszcz	Twardogórska 34/1	1	2	1	0		2012-10-12 17:50
723	DOLNOŚLĄSKIE	2	Wrocław	64	Wrocław (gmina miejska)	1	Wroclaw	Forsycjowa 14	1	1	1	0		2012-10-12 17:56
724	ŁÓDZKIE	10	zgierski	20	Zgierz (gmina wiejska)	9	Jedlicze B	Leśmiana	1	2	1	0		2012-10-12 18:05
725	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Ładna		1	3	1	0		2012-10-12 18:19
726	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Ładna		1	4	1	0		2012-10-12 18:20
727	ŁÓDZKIE	10	rawski	13	Rawa Mazowiecka (gmina wiejska)	4	Dziurdzioły		1	5	1	0		2012-10-12 18:36
728	WARMIŃSKO-MAZURSKIE	28	działdowski	3	Rybno (gmina wiejska)	6	rybno	lubawska	1	2	2	2		2012-10-12 19:19
729	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	Unisław		1	4	1	0		2012-10-12 19:25
730	KUJAWSKO-POMORSKIE	4	bydgoski	3	Osielsko (gmina wiejska)	6	niwy	długa	1	3	1	0		2012-10-12 19:36
731	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Pasym (gmina miejsko-wiejska)	4	GROM		1	1	1	0		2012-10-12 20:01
732	KUJAWSKO-POMORSKIE	4	Bydgoszcz	61	Bydgoszcz (gmina miejska)	1	Jagodowo	Bydgoska	1	1	1	0		2012-10-12 21:02
733	OPOLSKIE	16	opolski	9	Turawa (gmina wiejska)	13	Ligota Turawska	Polna 4	1	2	1	0		2012-10-12 21:11
734	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Ładna		1	4	1	0		2012-10-12 21:19
735	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Pogórska Wola		1	1	1	0		2012-10-12 21:25
736	ŁÓDZKIE	10	kutnowski	2	Strzelce (gmina wiejska)	10	Klonowiec Stary	Nr 47/ dawna szkoła podstawowa	1	2	1	0		2012-10-12 22:07
737	MAZOWIECKIE	14	pruszkowski	21	Michałowice (gmina wiejska)	4	Reguły	Krszewskiego	1	3	1	0		2012-10-12 22:19
738	MAZOWIECKIE	14	radomski	25	Iłża (gmina miejsko-wiejska)	3	Iłża		1	1	1	0		2012-10-12 22:50
739	MAŁOPOLSKIE	12	krakowski	6	Zielonki (gmina wiejska)	17	Trojanowice		1	1	1	0		2012-10-12 23:30
740	WIELKOPOLSKIE	30	nowotomyski	15	Nowy Tomyśl (gmina miejsko-wiejska)	4	Jastrzębsko Stare		1	1	1	0		2012-10-13 01:42
741	ZACHODNIOPOMORSKIE	32	koszaliński	9	Świeszyno (gmina wiejska)	8	niekłonice		1	3	1	0		2012-10-13 08:24
742	ŚLĄSKIE	24	Ruda Śląska	72	Ruda Śląska (gmina miejska)	1	Chebzie		0	0	0	0		2012-10-13 08:29
743	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	Unisław	Toruńska	2	0	0	0		2012-10-13 08:42
744	KUJAWSKO-POMORSKIE	4	wąbrzeski	17	Dębowa Łąka (gmina wiejska)	2	Wielkie Radowiska		1	2	1	0		2012-10-13 08:55
745	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Ładna		1	5	1	0		2012-10-13 09:22
746	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	unisław	Żwirki i Wigury 5	1	2	1	0		2012-10-13 09:30
747	MAZOWIECKIE	14	warszawski zachodni	32	Ożarów Mazowiecki (gmina miejsko-wiejska)	6	Szelig	Brzozowa	1	2	2	4		2012-10-13 10:16
748	WIELKOPOLSKIE	30	gostyński	4	Gostyń (gmina miejsko-wiejska)	2	Otówko		1	2	1	0		2012-10-13 10:41
749	KUJAWSKO-POMORSKIE	4	bydgoski	3	Dąbrowa Chełmińska (gmina wiejska)	2	Dąbrowa Cełmińska		2	0	0	0		2012-10-13 11:28
750	MAŁOPOLSKIE	12	nowotarski	11	Czorsztyn (gmina wiejska)	4	Maniowy	Konopnickiej	1	2	1	0		2012-10-13 12:16
751	ŚLĄSKIE	24	kłobucki	6	Popów (gmina wiejska)	7	Brzózki		1	3	1	0		2012-10-13 14:36
752	MAŁOPOLSKIE	12	krakowski	6	Skawina (gmina miejsko-wiejska)	11	Skawina	Podwale	1	1	3	0	Zaproponowano przesył 512kb	2012-10-13 15:11
753	LUBELSKIE	6	puławski	14	Kazimierz Dolny (gmina miejsko-wiejska)	4	Witoszyn		1	4	1	0		2012-10-13 15:16
754	MAZOWIECKIE	14	piaseczyński	18	Lesznowola (gmina wiejska)	3	Mysiadlo	Poprzeczna	1	3	3	0	Telekomunikacja Polska wstrzymala na poczatku pazdziernika 2012 roku prace zwiazane z budowa infrastruktury i nie odpowiada na moje pisma. 	2012-10-13 17:02
755	POMORSKIE	22	starogardzki	13	Osieczna (gmina wiejska)	7	Szlachta		1	2	1	0		2012-10-13 18:05
756	LUBUSKIE	8	międzyrzecki	3	Pszczew (gmina wiejska)	4	świechocin		1	1	1	0		2012-10-13 18:23
757	ZACHODNIOPOMORSKIE	32	goleniowski	4	Maszewo (gmina miejsko-wiejska)	3	Jarosławki		1	1	1	0		2012-10-13 19:29
758	LUBELSKIE	6	kraśnicki	7	Kraśnik (gmina wiejska)	5	Słodków Drugi		1	1	1	0		2012-10-13 19:51
759	WARMIŃSKO-MAZURSKIE	28	nidzicki	11	Kozłowo (gmina wiejska)	3	Kozłowo		1	2	1	0		2012-10-13 20:00
760	LUBUSKIE	8	międzyrzecki	3	Pszczew (gmina wiejska)	4	Policko		1	3	1	0		2012-10-13 20:43
761	MAZOWIECKIE	14	wyszkowski	35	Długosiodło (gmina wiejska)	2	Stare Bosewo	Letnia 4	1	2	1	0		2012-10-13 21:06
762	KUJAWSKO-POMORSKIE	4	Bydgoszcz	61	Bydgoszcz (gmina miejska)	1	Bydgoszcz	Sucha	1	10	1	0		2012-10-13 21:09
763	WARMIŃSKO-MAZURSKIE	28	olsztyński	14	Purda (gmina wiejska)	10	Wygoda		1	5	1	0		2012-10-13 21:15
764	MAZOWIECKIE	14	piaseczyński	18	Lesznowola (gmina wiejska)	3	Mysiadło	Różana	1	4	2	3		2012-10-13 21:25
765	LUBUSKIE	8	międzyrzecki	3	Pszczew (gmina wiejska)	4	PSZCZEW	ZAMKOWA	1	2	1	0		2012-10-13 22:08
766	ŚWIĘTOKRZYSKIE	26	buski	1	Nowy Korczyn (gmina wiejska)	3	Brzostków		1	2	3	0	Prace dot. budowy infrastruktury telekomunikacyjnej zostały rozpoczęte 2 lata temu - przed wyborami, a następnie (po wyborach) wstrzymane. 	2012-10-13 22:31
767	WIELKOPOLSKIE	30	Poznań	64	Poznań (gmina miejska)	1	poznan	poplinskich	1	1	2	2		2012-10-13 22:38
768	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Skrzyszów		1	2	1	0		2012-10-13 22:39
769	PODLASKIE	20	łomżyński	7	Przytuły (gmina wiejska)	6	Bagienice		1	5	1	0		2012-10-13 22:50
770	MAŁOPOLSKIE	12	myślenicki	9	Myślenice (gmina miejsko-wiejska)	3	trzemeśnia		1	5	1	0		2012-10-13 23:03
771	PODLASKIE	20	hajnowski	5	Białowieża (gmina wiejska)	2	Czerlonka		1	6	1	0		2012-10-13 23:23
772	LUBELSKIE	6	zamojski	20	Zwierzyniec (gmina miejsko-wiejska)	15	Sochy		1	1	2	4		2012-10-13 23:39
773	PODKARPACKIE	18	mielecki	11	Radomyśl Wielki (gmina miejsko-wiejska)	8	Radomyśl Wielki		2	0	0	0		2012-10-13 23:43
774	MAŁOPOLSKIE	12	tarnowski	16	Zakliczyn (gmina miejsko-wiejska)	14	Słona		1	4	1	0		2012-10-13 23:55
775	WARMIŃSKO-MAZURSKIE	28	olsztyński	14	Stawiguda (gmina wiejska)	11	Stawiguda	Perłowa	1	1	3	0	Obecne możliwości mojego przyłącza to ok. 7-8 Mb i jest to podyktowane technologią (kabel miedziany). Sam pracuję w branży budowlanej telekomunikacyjnej i oczekuję budowy sieci abonenckiej światłowodowej w architekturze FTTH na moim osiedlu	2012-10-14 01:53
776	DOLNOŚLĄSKIE	2	średzki	18	Kostomłoty (gmina wiejska)	1	Lisowice	Różana 4	1	2	3	0	brak wolnych portów na nowym osiedlu 	2012-10-14 10:23
777	LUBELSKIE	6	biłgorajski	2	Biszcza (gmina wiejska)	4	Wola Kulońska		2	0	0	0		2012-10-14 10:54
778	WIELKOPOLSKIE	30	rawicki	22	Rawicz (gmina miejsko-wiejska)	5	Łaszczyn		1	1	1	0		2012-10-14 11:21
779	POMORSKIE	22	słupski	12	Słupsk (gmina wiejska)	8	Gałęzinowo		1	1	1	0		2012-10-14 11:40
780	MAŁOPOLSKIE	12	krakowski	6	Zielonki (gmina wiejska)	17	Bosutów		1	2	1	0		2012-10-14 12:05
781	MAZOWIECKIE	14	płoński	20	Czerwińsk nad Wisłą (gmina wiejska)	4	Goławin		1	3	1	0		2012-10-14 12:31
782	MAZOWIECKIE	14	płoński	20	Czerwińsk nad Wisłą (gmina wiejska)	4	Goławin		1	3	1	0		2012-10-14 12:32
783	MAZOWIECKIE	14	płoński	20	Czerwińsk nad Wisłą (gmina wiejska)	4	Nowe Przybojewo		1	2	1	0		2012-10-14 12:34
784	MAZOWIECKIE	14	płoński	20	Czerwińsk nad Wisłą (gmina wiejska)	4	Goławin		1	4	1	0		2012-10-14 12:36
785	MAŁOPOLSKIE	12	krakowski	6	Sułoszowa (gmina wiejska)	13	sułoszowa		1	1	1	0		2012-10-14 13:44
786	MAŁOPOLSKIE	12	nowotarski	11	Nowy Targ (gmina wiejska)	9	nowy targ	ustronie	1	2	1	0		2012-10-14 13:47
787	MAŁOPOLSKIE	12	nowotarski	11	Nowy Targ (gmina miejska)	1	NOWY TARG	USTRONIE	1	3	1	0		2012-10-14 13:50
788	LUBELSKIE	6	krasnostawski	6	Krasnystaw (gmina miejska)	1	Krasnystaw	Okrzei 30	1	2	1	0		2012-10-14 16:29
789	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	Unisław	Osiedlowa	1	3	1	0		2012-10-14 17:04
790	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	Unisław	Lipowa	2	0	0	0		2012-10-14 17:47
791	MAZOWIECKIE	14	pruszkowski	21	Brwinów (gmina miejsko-wiejska)	3	Owczarnia	Kingi	1	1	2	4		2012-10-14 19:00
792	MAZOWIECKIE	14	garwoliński	3	Sobolew (gmina wiejska)	11	Gończyce		1	1	1	0		2012-10-14 19:34
793	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Szynwałd		2	0	0	0		2012-10-14 20:13
794	MAZOWIECKIE	14	ostrołęcki	15	Baranowo (gmina wiejska)	1	Zawady		1	3	1	0		2012-10-14 20:36
795	MAZOWIECKIE	14	ostrołęcki	15	Baranowo (gmina wiejska)	1	Brodowe Łąki		1	4	1	0		2012-10-14 20:38
796	KUJAWSKO-POMORSKIE	4	nakielski	10	Kcynia (gmina miejsko-wiejska)	1	Sipiory		1	6	1	0		2012-10-14 20:51
797	WARMIŃSKO-MAZURSKIE	28	piski	16	Pisz (gmina miejsko-wiejska)	3	Szczechy Wielkie		1	3	1	0		2012-10-14 20:58
798	ŚWIĘTOKRZYSKIE	26	konecki	5	Końskie (gmina miejsko-wiejska)	3	rogów	graniczna	1	3	1	0		2012-10-14 21:04
799	MAŁOPOLSKIE	12	Tarnów	63	Tarnów (gmina miejska)	1	Olszowa		1	6	1	0		2012-10-14 21:18
800	LUBELSKIE	6	chełmski	3	Ruda-Huta (gmina wiejska)	9	Rudka		1	2	1	0		2012-10-14 21:56
801	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Skrzyszów		1	1	1	0		2012-10-15 07:13
802	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Pogórska Wola		2	0	0	0		2012-10-15 07:44
803	LUBELSKIE	6	hrubieszowski	4	Werbkowice (gmina wiejska)	8	Werbkowice	Pogodna	1	2	1	0		2012-10-15 08:05
804	ZACHODNIOPOMORSKIE	32	koszaliński	9	Świeszyno (gmina wiejska)	8	NIEDALINO		1	4	1	0		2012-10-15 08:12
805	LUBELSKIE	6	rycki	16	Ułęż (gmina wiejska)	6	Lendo Ruskie		1	4	1	0		2012-10-15 08:29
806	LUBELSKIE	6	chełmski	3	Ruda-Huta (gmina wiejska)	9	Poczekajka		1	1	1	0		2012-10-15 08:33
807	LUBELSKIE	6	rycki	16	Ułęż (gmina wiejska)	6	Podlodówka		2	0	0	0		2012-10-15 08:37
808	LUBELSKIE	6	rycki	16	Ułęż (gmina wiejska)	6	Podlodów		2	0	0	0		2012-10-15 08:37
809	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Pogórska Wola		1	4	1	0		2012-10-15 08:59
810	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Pogóska Wola		1	1	1	0		2012-10-15 09:01
811	WARMIŃSKO-MAZURSKIE	28	olsztyński	14	Gietrzwałd (gmina wiejska)	5	Guzowy Piec		1	2	1	0		2012-10-15 09:36
812	LUBELSKIE	6	bialski	1	Terespol (gmina miejska)	2	Terespol	Czerwonego Krzyża 26	2	0	0	0		2012-10-15 10:14
813	MAŁOPOLSKIE	12	nowosądecki	10	Krynica-Zdrój (gmina miejsko-wiejska)	7	krynica  zdrój	kraszewskiego 153	1	10	3	0	Brak internetu  bezprzewodowego LTE  odpowiedzi  nie  otrzymałem  żadnej  z polsatucyfrowego	2012-10-15 10:17
814	KUJAWSKO-POMORSKIE	4	nakielski	10	Kcynia (gmina miejsko-wiejska)	1	Sipiory		1	6	1	0		2012-10-15 10:24
815	LUBELSKIE	6	opolski	12	Łaziska (gmina wiejska)	4	Łaziska		1	1	0	0	Internet zostanie podłączony.	2012-10-15 10:30
816	MAŁOPOLSKIE	12	bocheński	1	Trzciana (gmina wiejska)	8	Kamionna, Leszczyna, Łąkta Dolna		1	1	1	0		2012-10-15 10:39
817	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	Unisław	Chełmińska	2	0	0	0		2012-10-15 10:40
818	ZACHODNIOPOMORSKIE	32	policki	11	Dobra (Szczecińska) (gmina wiejska)	1	Dobra Szczecińska		1	4	1	0		2012-10-15 10:44
819	OPOLSKIE	16	nyski	7	Skoroszyce (gmina wiejska)	9	Sidzina		1	2	1	0		2012-10-15 10:46
820	MAZOWIECKIE	14	Warszawa	65	Warszawa (gmina miejska, miasto stołeczne)	1	Warszawa	Przygodna 14A	1	1	1	0		2012-10-15 10:52
821	KUJAWSKO-POMORSKIE	4	żniński	19	Barcin (gmina miejsko-wiejska)	1	MAMLICZ 110		1	3	3	0		2012-10-15 10:54
822	MAŁOPOLSKIE	12	krakowski	6	Świątniki Górne (gmina miejsko-wiejska)	14	Wrząsowice	nr domu 601 	1	1	1	0		2012-10-15 11:04
823	LUBELSKIE	6	łukowski	11	Krzywda (gmina wiejska)	4	Zimna Woda		1	3	1	0		2012-10-15 11:27
824	MAŁOPOLSKIE	12	tarnowski	16	Skrzyszów (gmina wiejska)	8	Pogórska Wola		1	1	1	0		2012-10-15 11:32
825	ZACHODNIOPOMORSKIE	32	kołobrzeski	8	Rymań (gmina wiejska)	5	Dębica		1	2	2	4		2012-10-15 11:51
826	LUBELSKIE	6	chełmski	3	Sawin (gmina wiejska)	10	Łowcza-Kolonia		1	1	1	0		2012-10-15 12:01
827	WARMIŃSKO-MAZURSKIE	28	olsztyński	14	Purda (gmina wiejska)	10	Purdka		1	1	1	0		2012-10-15 12:07
828	WARMIŃSKO-MAZURSKIE	28	olsztyński	14	Stawiguda (gmina wiejska)	11	Bartąg	Miła	1	1	1	0		2012-10-15 12:10
829	MAŁOPOLSKIE	12	krakowski	6	Kocmyrzów-Luborzyca (gmina wiejska)	5	GŁĘBOKA		1	1	1	0		2012-10-15 12:26
830	LUBUSKIE	8	słubicki	5	Słubice (gmina miejsko-wiejska)	5	Drzecin	nr 1,2,2b,3	1	2	2	3		2012-10-15 12:56
831	LUBUSKIE	8	słubicki	5	Słubice (gmina miejsko-wiejska)	5	Drzecin	nr 1,2,2b,3	1	2	2	3		2012-10-15 12:57
832	LUBELSKIE	6	hrubieszowski	4	Uchanie (gmina wiejska)	7	Chyżowice		1	1	3	0	Inwestycja nie nastąpi ponieważ jest nierentowna	2012-10-15 13:30
833	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Świętajno (gmina wiejska)	7	Cis	9	1	3	3	0	nie mozna zalozyc neostrady bo nie ma mozliwosci technicznych a jestem niedaleko od puchy tp prosze to naprawic albo zglosze to do sadu!!!!!!	2012-10-15 13:51
834	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Świętajno (gmina wiejska)	7	Jerutki		1	10	1	0		2012-10-15 13:52
835	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Świętajno (gmina wiejska)	7	Cis		1	10	1	0		2012-10-15 13:53
836	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Świętajno (gmina wiejska)	7	Cis		1	10	0	0		2012-10-15 13:53
837	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Świętajno (gmina wiejska)	7	Jerutki		1	1	0	0		2012-10-15 13:54
838	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Świętajno (gmina wiejska)	7	Cis		1	1	1	0		2012-10-15 13:54
839	MAZOWIECKIE	14	otwocki	17	Józefów (gmina miejska)	1	Józefów	Dworkowa	1	4	1	0		2012-10-15 14:02
840	LUBELSKIE	6	zamojski	20	Zwierzyniec (gmina miejsko-wiejska)	15	Zwierzyniec	Biłgorajska	1	2	2	3		2012-10-15 14:02
841	MAZOWIECKIE	14	otwocki	17	Józefów (gmina miejska)	1	Józefów	Dworkowa 2 (dawna Rolnicza)	1	6	1	0		2012-10-15 14:07
842	MAZOWIECKIE	14	otwocki	17	Józefów (gmina miejska)	1	Józefów	Dworkowa 4 (dawna Rolnicza)	1	4	1	0		2012-10-15 14:08
843	MAZOWIECKIE	14	otwocki	17	Józefów (gmina miejska)	1	Józefów	Dworkowa 6 (dawna Rolnicza)	1	5	1	0		2012-10-15 14:10
844	MAZOWIECKIE	14	otwocki	17	Józefów (gmina miejska)	1	Józefów	Dworkowa 8 (dawna Rolnicza)	1	5	1	0		2012-10-15 14:12
845	MAZOWIECKIE	14	otwocki	17	Józefów (gmina miejska)	1	Józefów	Dworkowa 10 (dawna Rolnicza)	1	5	1	0		2012-10-15 14:13
846	MAZOWIECKIE	14	otwocki	17	Józefów (gmina miejska)	1	Józefów	Dworkowa 12 (dawna Rolnicza)	1	3	1	0		2012-10-15 14:15
847	WIELKOPOLSKIE	30	złotowski	31	Jastrowie (gmina miejsko-wiejska)	2	Samborsko		1	1	2	3		2012-10-15 14:25
848	PODKARPACKIE	18	brzozowski	2	Nozdrzec (gmina wiejska)	6	Izdebki		2	0	0	0		2012-10-15 14:33
849	MAŁOPOLSKIE	12	dąbrowski	4	Szczucin (gmina miejsko-wiejska)	7	Słupiec		1	1	2	4		2012-10-15 14:41
850	MAŁOPOLSKIE	12	dąbrowski	4	Olesno (gmina wiejska)	5	Olesno		1	1	1	0		2012-10-15 14:44
851	ŁÓDZKIE	10	pabianicki	8	Dłutów (gmina wiejska)	3	Drzewociny		1	3	1	0		2012-10-15 14:48
852	MAŁOPOLSKIE	12	krakowski	6	Mogilany (gmina wiejska)	9	Gaj	Zadziele	1	4	1	0		2012-10-15 14:52
853	MAŁOPOLSKIE	12	nowotarski	11	Nowy Targ (gmina miejska)	1	Nowy Targ	Os. Bór	1	5	1	0		2012-10-15 14:55
854	LUBUSKIE	8	krośnieński	2	Dąbie (gmina wiejska)	4	Pław	Plac Kasztanowy	1	1	1	0		2012-10-15 15:10
855	MAŁOPOLSKIE	12	krakowski	6	Liszki (gmina wiejska)	7	Piekary		1	1	3	0	Nieopłacalność inwestycji - dociągniecie kabla na odległość 100 metrów.	2012-10-15 16:05
856	MAŁOPOLSKIE	12	nowotarski	11	Spytkowice (gmina wiejska)	13	Spytkowice		1	3	1	0		2012-10-15 16:34
857	MAŁOPOLSKIE	12	nowotarski	11	Spytkowice (gmina wiejska)	13	Spytkowice		1	2	1	0		2012-10-15 16:35
858	MAŁOPOLSKIE	12	gorlicki	5	Uście Gorlickie (gmina wiejska)	10	Hańczowa		2	0	0	0		2012-10-15 17:03
859	WIELKOPOLSKIE	30	Poznań	64	Poznań (gmina miejska)	1	Poznań	Rogozińska	1	1	3	0	Możliwy jest dostęp do internetu, jednakże tylko do 10MB	2012-10-15 17:43
860	MAZOWIECKIE	14	otwocki	17	Wiązowna (gmina wiejska)	8	Pęclin		1	3	1	0		2012-10-15 17:45
861	MAZOWIECKIE	14	otwocki	17	Wiązowna (gmina wiejska)	8	Pęclin		1	3	1	0		2012-10-15 17:46
862	LUBUSKIE	8	gorzowski	1	Deszczno (gmina wiejska)	3	Kiełpin		1	3	1	0		2012-10-15 18:57
863	MAŁOPOLSKIE	12	Tarnów	63	Tarnów (gmina miejska)	1	wola rzędzińska		1	2	1	0		2012-10-15 19:30
864	KUJAWSKO-POMORSKIE	4	chełmiński	4	Lisewo (gmina wiejska)	4	Krajęcin 24		2	0	0	0		2012-10-15 19:48
865	MAŁOPOLSKIE	12	bocheński	1	Lipnica Murowana (gmina wiejska)	4	Lipnica Górna  		1	1	1	0		2012-10-15 20:12
866	MAŁOPOLSKIE	12	bocheński	1	Lipnica Murowana (gmina wiejska)	4	Lipnica Górna 251		1	1	1	0		2012-10-15 20:16
867	KUJAWSKO-POMORSKIE	4	chełmiński	4	Unisław (gmina wiejska)	7	Unisław		1	3	2	3		2012-10-15 20:22
